iter	MAE
1337	8505.30989
1338	8502.975826
1339	8500.462861
1340	8496.484938
1341	8494.647045
1342	8489.950864
1343	8484.223624
1344	8480.683243
1345	8476.569606
1346	8474.601708
1347	8471.820873
1348	8466.045663
1349	8462.713265
1350	8459.903808
1351	8456.926053
1352	8454.511577
1353	8449.455661
1354	8446.696866
1355	8445.749335
1356	8441.388307
1357	8439.551599
1358	8438.423807
1359	8435.793192
1360	8431.509186
1361	8428.912938
1362	8426.9784
1363	8422.249952
1364	8421.23039
1365	8419.046319
1366	8413.427359
1367	8408.833483
1368	8405.877666
1369	8404.897259
1370	8402.46353
1371	8398.920769
1372	8395.92382
1373	8392.465805
1374	8389.655303
1375	8382.263342
1376	8378.545475
1377	8375.103982
1378	8370.34653
1379	8366.770333
1380	8363.662603
1381	8358.885724
1382	8356.086005
1383	8351.619172
1384	8346.689057
1385	8343.194994
1386	8338.247392
1387	8334.930257
1388	8330.928965
1389	8327.389533
1390	8324.591432
1391	8319.489572
1392	8316.757748
1393	8314.175903
1394	8311.013321
1395	8304.568306
1396	8303.502344
1397	8299.225409
1398	8295.50625
1399	8293.300205
1400	8285.016066
1401	8278.875219
1402	8277.506198
1403	8276.083191
1404	8272.751362
1405	8270.115402
1406	8266.88532
1407	8265.251777
1408	8262.020683
1409	8260.342897
1410	8256.607183
1411	8254.93517
1412	8251.905682
1413	8247.471285
1414	8245.624962
1415	8243.242548
1416	8237.749094
1417	8233.099718
1418	8228.465886
1419	8226.006569
1420	8222.090452
1421	8220.932564
1422	8217.204648
1423	8216.173588
1424	8212.561686
1425	8209.172819
1426	8203.933716
1427	8200.562423
1428	8194.753244
1429	8190.982242
1430	8187.352856
1431	8184.867001
1432	8179.948276
1433	8177.676912
1434	8175.322885
1435	8171.898994
1436	8170.844387
1437	8166.93387
1438	8163.910877
1439	8161.752493
1440	8159.594564
1441	8154.73841
1442	8151.808144
1443	8150.313458
1444	8145.518477
1445	8142.717406
1446	8137.974403
1447	8133.405434
1448	8131.125996
1449	8126.466055
1450	8125.280177
1451	8122.19221
1452	8120.440541
1453	8115.787763
1454	8113.274936
1455	8108.882171
1456	8104.642411
1457	8099.798837
1458	8098.665972
1459	8095.206564
1460	8093.685
1461	8086.420512
1462	8082.614551
1463	8079.697539
1464	8076.578941
1465	8073.115832
1466	8068.801705
1467	8063.680085
1468	8062.27606
1469	8059.949567
1470	8057.573717
1471	8054.79093
1472	8051.644759
1473	8049.082877
1474	8046.88775
1475	8043.88113
1476	8041.017929
1477	8039.156776
1478	8038.286433
1479	8036.063064
1480	8032.022461
1481	8028.554233
1482	8024.675465
1483	8020.403688
1484	8016.14316
